,N7_AP_197,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7-AP-260,N7_AP_298,N7_AP_299,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_3,N7_AP_9,N7_AP_20,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_26,N7_AP_27,N7_AP_20-2F
N7_AP_309,80,89,200,200,200,200,200,200,200,79,74,77,80,78,68,80,83,67,75,83,200,78,84,104,200,200,200,200,200,200,200,200,200,200,200,200,200,200,83,200,200,200,200,200,80,82,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,88,200,65,69,78,200,200,200,200
N7_AP_310,77,200,200,200,200,200,200,200,200,200,82,77,84,200,79,72,200,200,69,200,78,200,88,200,200,200,200,200,200,200,200,200,200,200,200,200,200,81,79,200,200,200,86,200,200,72,88,200,82,103,200,200,200,200,200,200,200,200,200,200,200,200,200,200,79,86,78,86,200,200,200
N7_AP_311,86,92,200,200,200,200,200,200,200,84,84,78,85,90,79,200,79,84,83,200,84,88,200,73,200,200,200,200,200,200,200,200,200,200,200,200,200,200,86,91,200,200,200,200,200,200,200,200,89,200,95,200,200,200,200,200,200,200,200,200,200,200,70,69,79,80,88,200,200,200,200
N7_AP_313,200,105,200,200,200,200,200,200,200,200,200,200,200,200,200,200,106,200,200,111,104,200,73,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,103,97,200,200,200,200,117,85,200,200,200,200,200,200,200,200,200,200,200,200,200,57,61,200,114,200,200,200,200,200
N7_AP_315,200,200,78,74,79,74,79,80,76,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,69,81,70,68,72,72,70,72,79,71,69,73,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,82,200,200,200,100,200,200,200,200,200,200,200,200,200,200,70,200,92
N7_AP_316,200,200,200,81,82,200,200,75,80,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,69,200,79,78,66,62,73,71,60,77,71,73,69,200,200,200,200,200,200,200,200,200,200,200,200,200,200,79,200,200,85,200,81,200,79,77,77,200,200,200,200,200,200,200,74,200,200
N7_AP_317,200,200,73,71,73,87,78,200,200,200,200,200,90,200,200,200,200,86,200,200,200,200,200,200,81,79,200,76,80,81,69,74,78,69,82,79,81,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,93,200,200,200,200,87,200,200,200,200,200,200,200,200,200,85,96,200
N7_AP_318,200,200,74,75,75,200,83,200,85,90,200,200,200,200,200,200,200,200,200,200,200,200,200,200,70,78,76,200,75,79,67,67,69,71,74,68,70,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,92,200,86,79,200,200,200,200,200,200,200,200,71,89,200
N7_AP_319,200,200,79,78,82,200,80,77,79,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,68,66,80,75,200,73,75,72,66,76,65,70,69,200,200,200,200,200,200,200,200,200,200,200,200,200,200,82,200,200,200,200,82,200,200,82,82,200,200,200,200,200,200,200,73,200,200
N7_AP_320,200,200,200,81,85,200,200,75,80,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,72,62,81,79,73,200,76,72,66,75,73,72,70,200,200,200,200,200,200,200,200,200,200,200,200,200,200,78,80,200,79,200,76,200,75,73,77,200,200,200,200,200,200,200,200,200,200
N7_AP_322,200,200,70,69,71,200,72,200,200,200,81,200,200,200,200,200,200,200,200,200,200,200,200,200,72,73,69,67,75,76,200,69,71,65,75,71,73,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,93,200,200,200,91,74,79,200,200,200,200,200,200,200,74,82,200
N7_AP_323,200,200,76,71,74,73,83,76,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,70,71,74,67,72,72,69,200,69,73,70,64,72,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,83,79,82,200,200,200,200,200,200,200,67,200,200
N7_AP_324,200,200,78,73,77,69,200,70,76,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,72,60,78,69,66,66,71,69,200,79,66,70,61,200,200,200,200,200,200,200,200,200,200,200,200,200,200,80,200,200,82,200,200,200,200,75,76,200,200,200,200,200,200,200,69,200,200
N7_AP_325,200,200,68,69,71,200,71,81,200,200,200,200,200,200,200,200,200,81,200,200,200,200,200,200,79,77,69,71,76,75,65,73,79,200,76,74,74,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,84,88,200,200,200,79,200,200,200,200,200,200,200,73,200,91
N7_AP_326,200,200,85,78,83,74,80,78,77,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,71,71,82,74,65,73,75,70,66,76,200,65,69,200,200,200,200,200,200,200,200,200,200,200,200,200,200,86,200,200,200,200,200,200,200,81,81,200,200,200,200,200,200,200,74,200,200
N7_AP_329,200,200,75,75,76,75,79,78,77,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,69,73,79,68,70,72,71,64,70,74,65,200,69,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,85,200,200,82,78,200,200,200,200,200,200,200,65,200,200
N7_AP_330,200,200,79,74,77,68,200,81,72,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,73,69,81,70,69,70,73,72,61,74,69,69,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,80,200,83,80,77,200,200,200,200,200,200,200,69,200,200
N7_AP_334,74,200,200,200,200,200,200,200,200,200,200,79,83,82,80,78,200,83,87,200,200,81,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,79,65,78,200,64,75,82,77,73,200,68,200,200,200,200,200,200,200,200,200,200,200,200,76,88,200,82,200,78,81,200,200,200
N7_AP_335,67,200,200,200,200,200,200,200,200,79,82,75,82,81,76,73,82,83,78,200,83,79,86,200,200,200,200,200,200,200,200,200,200,200,200,200,200,79,200,77,200,200,77,200,200,72,200,200,79,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,81,82,76,83,200,200,200
N7_AP_336,74,200,200,200,200,200,200,200,200,81,83,75,200,76,79,78,80,200,83,200,200,200,91,200,200,200,200,200,200,200,200,200,200,200,200,200,200,65,77,200,73,200,71,74,76,77,70,200,73,200,91,200,200,200,200,200,200,200,200,200,200,69,81,200,200,200,75,200,200,200,200
N7_AP_337,80,200,200,200,200,200,200,200,200,87,200,72,76,200,84,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,78,200,73,200,78,80,63,67,200,74,80,80,74,88,200,90,85,200,200,200,84,200,200,200,58,200,200,200,200,80,92,200,200,84
N7_AP_338,200,200,200,200,200,200,200,200,200,200,200,200,80,83,80,200,200,200,200,200,200,200,200,103,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,78,200,79,78,75,200,87,66,96,76,70,200,85,78,200,81,200,77,200,200,200,78,200,200,200,200,200,86,200,74,85
N7_AP_339,78,200,200,200,200,200,200,200,200,200,82,84,200,200,200,79,86,200,200,200,200,86,200,97,200,200,200,200,200,200,200,200,200,200,200,200,200,64,77,71,80,79,200,75,78,77,78,88,64,83,92,200,200,200,200,200,200,200,200,200,200,77,200,200,97,200,81,86,200,200,200
N7_AP_340,200,200,200,200,200,200,200,200,200,83,82,200,83,76,200,86,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,75,200,74,63,78,75,200,68,86,73,81,79,79,91,200,200,99,200,200,200,91,200,200,200,66,88,200,200,200,200,84,200,200,96
N7_AP_341,200,200,200,200,200,200,200,200,200,200,80,200,200,200,200,86,200,200,200,200,80,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,82,200,76,67,75,78,68,200,92,75,77,78,72,86,200,200,200,200,100,200,86,200,200,200,67,200,200,88,200,200,88,200,78,200
N7_AP_342,74,200,200,200,200,200,200,200,200,200,200,73,200,97,200,71,84,200,80,200,82,72,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,77,72,77,200,200,77,86,92,200,82,200,74,93,200,200,200,200,200,200,200,200,200,200,200,80,200,200,82,87,76,80,200,200,200
N7_AP_343,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,83,200,200,88,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,73,200,70,74,87,78,73,75,82,200,85,67,82,95,200,200,200,200,97,200,200,200,200,200,79,90,200,200,92,200,83,200,200,200
N7_AP_344,200,92,90,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,117,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,80,66,88,81,77,200,85,200,85,65,67,200,82,74,200,75,200,77,200,200,200,74,115,116,200,94,200,82,200,76,78
N7_AP_345,80,200,200,200,200,200,200,200,200,200,200,200,200,200,200,88,200,85,85,200,200,82,89,85,200,200,200,200,200,200,200,200,200,200,200,200,200,68,79,73,80,96,64,79,78,74,67,85,200,81,99,200,200,200,200,200,200,200,200,200,200,200,79,78,200,200,200,75,200,200,200
N7_AP_346,200,98,90,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,103,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,74,76,83,79,72,93,82,65,81,200,81,200,200,88,200,92,92,85,200,200,200,77,111,200,200,200,200,83,200,84,200
N7_AP_348,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,95,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,91,88,70,92,91,86,200,95,67,99,81,200,88,84,82,88,78,200,78,84,200,200,82,200,200,200,200,200,106,200,74,84
N7_AP_349,200,200,88,91,88,81,200,67,81,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,79,200,200,82,78,200,200,80,200,86,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,88,200,70,76,65,76,70,80,65,70,74,200,200,200,200,200,200,200,200,75,77
