,N6_AP-193,N6_AP_120,N6_AP_121,N6_AP_122,N6_AP_123,N6_AP_124,N6_AP_125,N6_AP_126,N6_AP_127,N6_AP_128,N6_AP_129,N6_AP_130,N6_AP_131,N6_AP_132,N6_AP_133,N6_AP_134,N6_AP_135,N6_AP_136,N6_AP_137,N6_AP_138,N6_AP_139,N6_AP_140,N6_AP_141,N6_AP_142,N6_AP_143,N6_AP_144,N6_AP_145,N6_AP_147,N6_AP_148,N6_AP_149,N6_AP_15,N6_AP_150,N6_AP_151,N6_AP_152,N6_AP_153,N6_AP_154,N6_AP_155,N6_AP_156,N6_AP_157,N6_AP_158,N6_AP_159,N6_AP_160,N6_AP_161,N6_AP_162,N6_AP_163,N6_AP_164,N6_AP_165,N6_AP_166,N6_AP_167,N6_AP_168,N6_AP_169,N6_AP_170,N6_AP_171,N6_AP_173,N6_AP_174,N6_AP_175,N6_AP_177,N6_AP_178,N6_AP_180,N6_AP_181,N6_AP_182,N6_AP_183,N6_AP_184,N6_AP_185,N6_AP_186,N6_AP_187,N6_AP_188,N6_AP_189,N6_AP_190,N6_AP_191,N6_AP_192,N6_AP_193,N6_AP_194,N6_AP_195,N6_AP_412,N6_AP_414,N6_AP_418,N6_AP_419,N6_AP_58,N6_AP_60,N6_AP_62,N6_AP_63,N6_AP_66,N6_AP_91,N6_AP_92,N6_AP_94,N6_AP_95,N6_AP_96,N6_AP_97,N7-AP-260,N7-AP-327,N7_AP_196,N7_AP_197,N7_AP_20,N7_AP_20-2F,N7_AP_212,N7_AP_214,N7_AP_221,N7_AP_228,N7_AP_231,N7_AP_232,N7_AP_257,N7_AP_26,N7_AP_27,N7_AP_298,N7_AP_299,N7_AP_3,N7_AP_300,N7_AP_301,N7_AP_302,N7_AP_303,N7_AP_304,N7_AP_305,N7_AP_306,N7_AP_307,N7_AP_308,N7_AP_309,N7_AP_310,N7_AP_311,N7_AP_313,N7_AP_315,N7_AP_316,N7_AP_317,N7_AP_318,N7_AP_319,N7_AP_320,N7_AP_322,N7_AP_323,N7_AP_324,N7_AP_325,N7_AP_326,N7_AP_329,N7_AP_330,N7_AP_334,N7_AP_335,N7_AP_336,N7_AP_337,N7_AP_338,N7_AP_339,N7_AP_340,N7_AP_341,N7_AP_342,N7_AP_343,N7_AP_344,N7_AP_345,N7_AP_346,N7_AP_348,N7_AP_349,N7_AP_350,N7_AP_351,N7_AP_352,N7_AP_353,N7_AP_354,N7_AP_355,N7_AP_356,N7_AP_358,N7_AP_359,N7_AP_57,N7_AP_64,N7_AP_79,N7_AP_84,N7_AP_9,nkg6aaaphw46,nkg6aaaphw48,nkg6baaphw43,nkg6baaphw44
N6_AP_15,92,92,,83,88,99,84,88,98,97,87,87,92,97,80,88,96,98,88,88,78,,97,,,,,,,,,,,,,,,,,,,,,,,,98,78,93,72,,89,75,89,77,72,87,67,93,78,65,71,,,100,,,,,,,,,,,,,,,,,,,,,,87,78,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_150,,,,,,,,,98,100,,100,100,99,,,94,,,,,75,,97,92,94,94,87,93,88,,,92,86,90,74,91,89,76,68,93,92,91,76,84,92,,,,,,,,,,,,,,,,,,,,,,99,99,,,,,,,,,,89,99,96,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_151,97,,,,,,,,,,,,,,,,100,100,,,,92,100,71,79,76,65,81,74,85,,92,,74,79,92,72,81,89,90,73,74,,96,93,,,,,100,,,,,,,99,,,,,,,,95,84,,77,100,93,77,97,86,86,,,,,69,,73,,100,,96,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_152,,,,,,,,,,99,,,,,,100,,99,,,,86,,79,66,73,79,76,74,73,,86,74,,70,86,68,71,83,84,74,70,,91,91,98,,,,,,,,,,,,,,,,,,,99,92,,82,100,95,94,,95,92,,,,,74,,77,,,100,90,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_153,97,,,,,,,,97,,,,97,,,,,,,99,,89,,86,83,84,82,73,82,73,,90,79,70,,86,76,,80,82,81,79,,93,89,99,,,,,,,,,,,,,,,,,,,97,92,,81,,99,95,,99,97,,,,,79,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_154,,100,,,,,,,100,100,,99,98,,,,99,100,,,,79,,97,96,90,94,85,93,86,,74,92,86,86,,87,83,72,69,94,90,99,84,78,88,,,,,,,,,,,,,,,,,,,,100,,96,,,,,,,,,,,92,,96,,,,90,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_155,,,,,,,,,,,,,,,100,,100,100,,,,89,100,79,77,72,76,78,69,83,,91,72,68,76,87,,78,86,85,69,74,,96,93,100,,,,,,,,,,,,,,,,,,,98,90,,83,100,97,94,100,94,92,,,,,74,,75,,,,92,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_156,,,,,,,,,98,,,,97,,,,,,,,,91,,86,83,84,83,73,84,71,,89,81,71,,83,78,,80,86,82,77,,95,91,98,,,,,,,,,,,,,,,,,,,100,96,,84,,98,96,,99,98,,,,,81,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_157,100,,,,,,,99,98,100,,100,91,,,,95,,,96,,81,95,98,95,94,92,79,90,84,,76,89,83,80,72,86,80,,72,91,86,99,84,81,88,,,,,,,,,,,,,,,,,,,100,,,92,,99,98,,,,,,,,88,,91,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6_AP_158,,,,,,,,,95,,,,99,,,100,99,,,,,81,99,94,92,92,92,81,91,85,,68,90,84,82,69,85,86,72,,90,87,96,85,75,78,,,,,,,,,,,,,,,,,,,,99,,93,,,,,,,,,,,91,,94,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
